vcs_url,commit_hash,parent_hash
https://github.com/apache/ant-ivy,902a680951f318488a4bbe0184a3a223c5709b01,9f5f0c09886964b75a9804b08ec77ee5bf72e902
https://github.com/apache/ant-ivy,fe487b3336f8279d8b74eff05c5ebfe6e01281f0,86d1c40475d6962e6ad256f248636467bf0a58cf
https://github.com/apache/ant-ivy,fdb75911387f77912c37dcee0af4a2f2e0977f3c,b24d380e980b417149ee7ee3f318183aad62820f
https://github.com/apache/ant-ivy,64a64f5ef90dfb4b3b862d0943437f11e35db938,d9472a43be616a7a4fff4f4b328f5082628dd2f4
https://github.com/apache/ant-ivy,66310f553103e515ab41aa573aaf2e4101efa635,f3fa2da056c709cb570740c0390682bef8be60a4
https://github.com/apache/ant-ivy,899f9fd0a9690581f33a715bb5f000397f1bafef,aefb24facc745fdec7b16fa28aac6538e4a8b00c
https://github.com/apache/ant-ivy,82fae244b7e1b29328557e6ad6965b54bb12e4f9,6d5ba656e29b24764d0bf78c35421a07cfb97739
https://github.com/apache/ant-ivy,7f640b0badf5106821908fcae610400849cdccc5,0baa78fc53467ec1e46db1c52877a3973f753d6b
https://github.com/apache/ant-ivy,84fd1dd099e6d44cdc5a2d6718197022f257dce9,e3bfbba28bd950d703b9a46d477a18bcb0cdfe7f
https://github.com/apache/ant-ivy,79e8ea94db5f613b1d0d69bffb45eda968a41f04,cc06ae9bf7a1fb6cee46c40d2a6388ac05d3f5d1
https://github.com/apache/ant-ivy,8eef77b6fed7879f76ab660adde246417dbce2c5,3fb24bfaab21c8caadd8fe745a8d22f176adf799
https://github.com/apache/ant-ivy,821a3ddf69bdbfdab5aa9f3ba9f99b30ea63dcaf,8e5ca50b8b5f47f3fb41fab5db07b9d7805628b3
https://github.com/apache/ant-ivy,fffe2ee6cd3b67aabb36f656f47f09591bc355e2,e6037c6b99e0c15121b118ddfa526140bec28931
https://github.com/apache/ant-ivy,8962bc40f7843e109f679f1cf869338566579b58,ac5fc2cacdea64878aa0bb9c0c397d45caff9f63
https://github.com/apache/ant-ivy,fe05cf44d3eb2f00fde5c75d60079d34743c9a48,88004447d956a97b0e1765c73ae7649029dc87a2
https://github.com/apache/ant-ivy,feb0d2f4d8fd3a5e50bb1769c14fc6034aefcdc0,0688be057a94be50f47de8cc867de004337d339c
https://github.com/apache/ant-ivy,ff3804849e0badfe6fee032f39dacb577be94c22,1e19908591da85e378e26b0a99d07406cd878ee1
https://github.com/apache/ant-ivy,fe96b3bb16be25bf936daac1d004e579f1ca770a,87e14bb58992ba27c56f9caf18267cb976ed7615
https://github.com/apache/ant-ivy,8c5a4a7bafc3685d433ee277fad060e8b046e920,88b9c3081d701bf6203ebbfa25c97277722a9c37
https://github.com/apache/ant-ivy,70f4b5549622b0ccc70bd2087700c510f10fc6f0,b7ede187f60719aa24a52f8159a7d8a47965f0f6
https://github.com/apache/ant-ivy,8af923c22d837f34834fd50d0b05eba8ed0d1a54,0082e0192a5b706ca2777efd7097814cf64803ee
https://github.com/apache/ant-ivy,8bbf8370c328e75d8e926fea9a114178a708db28,547691c621d6cf7c9ceab9c90d2097a35e79c1db
https://github.com/apache/ant-ivy,8587d603c801ba22ef87c8c6414cd49ce6532da8,c819598e9fb2ce0f2e7cdfe26b084f582bbee0c6
https://github.com/apache/ant-ivy,75ab5e6bca39e2785f4638365c7fa94a9875f7b6,34026064eb065daeb36fe9b363cf3a16ae71b8f7
https://github.com/apache/ant-ivy,6d4b512cb151446b90874d5046ab6833904f5bfe,01bd69f460be80856019fbaf45f6c626ff68f65b
https://github.com/apache/ant-ivy,67647ddcf1c42762dd7bc6df83ba951edad1ce93,e556b3cdeb75a6ed2285f581164d76f743ab85ee
https://github.com/apache/ant-ivy,7930b8cf42e1aa1b5958268dc3383bd966e28b29,24f7524858704327230c6348fcd1ec99b8e59d3b
https://github.com/apache/ant-ivy,62df2eba9a9effc160efefc8e7f50c6fa3dc41b5,e02f863e28df71a092b58cb7110614e76021ec9b
https://github.com/apache/ant-ivy,64d6303154b1c85181c686d0a6e7c0437e5da770,b61f5d2ff2487d639ae8d1a86c1acb3b6f4825c8
https://github.com/apache/ant-ivy,9022687ce91015634e41e1c528654005df450878,0d07eac1699dfa39048a0edb66e11308669a9961
https://github.com/apache/ant-ivy,815513f7da72c65034e82236d3203c06d5a18772,63b2ea841abd0069145443e5b140148960227b6e
https://github.com/apache/ant-ivy,8d851390736dcb916646b043a5ed7ff8f212e37c,ff2f32b914a5486e4f4870c6bc6fae14a85fb086
https://github.com/apache/ant-ivy,65a2a7da3ec5a9c41a6279c55d7b8a2c239bee56,eb08e0f4c0b3360cb9a09ef73fd8baf9a8ed08b7
